dataset,id,image size,voxels size
Lyon_P_01,T1.nii,"(200, 336, 336)","(0.8499895, 0.74404764, 0.74404764)"
Lyon_P_01,T2.nii,"(512, 512, 46)","(0.44921875, 0.44921875, 3.0)"
Lyon_P_01,FLAIR.nii,"(261, 336, 336)","(0.69999856, 0.74404764, 0.74404764)"
Lyon_P_01,lesions.nii,"(261, 336, 336)","(0.69999856, 0.74404764, 0.74404764)"
Lyon_P_02,T1.nii,"(200, 336, 336)","(0.85000974, 0.74404764, 0.74404764)"
Lyon_P_02,T2.nii,"(512, 512, 46)","(0.44921875, 0.44921875, 2.9999979)"
Lyon_P_02,lesion.nii,"(261, 336, 336)","(0.69999903, 0.74404764, 0.74404764)"
Lyon_P_02,FLAIR.nii,"(261, 336, 336)","(0.69999903, 0.74404764, 0.74404764)"
Lyon_P_03,T1.nii,"(200, 336, 336)","(0.8499949, 0.74404764, 0.74404764)"
Lyon_P_03,T2.nii,"(512, 512, 46)","(0.44921875, 0.44921875, 3.0000005)"
Lyon_P_03,lesion.nii,"(261, 336, 336)","(0.7000007, 0.74404764, 0.74404764)"
Lyon_P_03,FLAIR.nii,"(261, 336, 336)","(0.7000007, 0.74404764, 0.74404764)"
Lyon_P_04,T1.nii,"(200, 336, 336)","(0.84999084, 0.74404764, 0.74404764)"
Lyon_P_04,T2.nii,"(512, 512, 46)","(0.44921875, 0.44921875, 2.9999995)"
Lyon_P_04,lesion.nii,"(261, 336, 336)","(0.69999695, 0.74404764, 0.74404764)"
Lyon_P_04,FLAIR.nii,"(261, 336, 336)","(0.69999695, 0.74404764, 0.74404764)"
Lyon_P_05,T1.nii,"(210, 336, 336)","(0.8500105, 0.74404764, 0.74404764)"
Lyon_P_05,T2.nii,"(512, 512, 46)","(0.44921875, 0.44921875, 2.9999986)"
Lyon_P_05,lesion.nii,"(261, 336, 336)","(0.70000863, 0.74404764, 0.74404764)"
Lyon_P_05,FLAIR.nii,"(261, 336, 336)","(0.70000863, 0.74404764, 0.74404764)"
Lyon_S_01,T1.nii,"(256, 256, 176)","(1.0820312, 1.0820312, 0.9)"
Lyon_S_01,T2.nii,"(320, 320, 25)","(0.71875, 0.71875, 5.200002)"
Lyon_S_01,lesion.nii,"(128, 224, 256)","(1.25, 1.0351562, 1.0351562)"
Lyon_S_01,FLAIR.nii,"(128, 224, 256)","(1.25, 1.0351562, 1.0351562)"
Lyon_S_02,T1.nii,"(256, 256, 176)","(1.0820312, 1.0820312, 0.9)"
Lyon_S_02,T2.nii,"(320, 320, 25)","(0.71875, 0.71875, 5.2000017)"
Lyon_S_02,lesion.nii,"(128, 224, 256)","(1.25, 1.0351562, 1.0351562)"
Lyon_S_02,FLAIR.nii,"(128, 224, 256)","(1.25, 1.0351562, 1.0351562)"
Lyon_S_03,T1.nii,"(256, 256, 176)","(1.0820312, 1.0820312, 0.9)"
Lyon_S_03,T2.nii,"(320, 320, 25)","(0.71875, 0.71875, 5.2000027)"
Lyon_S_03,lesion.nii,"(128, 224, 256)","(1.25, 1.0351562, 1.0351562)"
Lyon_S_03,FLAIR.nii,"(128, 224, 256)","(1.25, 1.0351562, 1.0351562)"
Lyon_S_04,T1.nii,"(256, 256, 176)","(1.0820312, 1.0820312, 0.90006065)"
Lyon_S_04,T2.nii,"(320, 320, 25)","(0.71875, 0.71875, 5.200348)"
Lyon_S_04,lesion.nii,"(128, 224, 256)","(1.2498474, 1.0351562, 1.0351562)"
Lyon_S_04,FLAIR.nii,"(128, 224, 256)","(1.2498474, 1.0351562, 1.0351562)"
Lyon_S_05,T1.nii,"(256, 256, 176)","(1.0820312, 1.0820312, 0.89998627)"
Lyon_S_05,T2.nii,"(320, 320, 25)","(0.71875, 0.71875, 5.1998615)"
Lyon_S_05,lesion.nii,"(128, 224, 256)","(1.2498932, 1.0351562, 1.0351562)"
Lyon_S_05,FLAIR.nii,"(128, 224, 256)","(1.2498932, 1.0351562, 1.0351562)"
Rennes_01,T1.nii,"(176, 256, 256)","(1.0, 1.0, 1.0)"
Rennes_01,T2.nii,"(240, 320, 44)","(0.6875, 0.6875, 3.0000014)"
Rennes_01,lesion.nii,"(144, 512, 512)","(1.0999999, 0.5, 0.5)"
Rennes_01,FLAIR.nii,"(144, 512, 512)","(1.0999999, 0.5, 0.5)"
Rennes_02,T1.nii,"(176, 256, 256)","(1.0, 1.0, 1.0)"
Rennes_02,T2.nii,"(240, 320, 44)","(0.71875, 0.71875, 2.9999995)"
Rennes_02,lesion.nii,"(144, 512, 512)","(1.0999999, 0.5078125, 0.5078125)"
