013,lesion.nii,"(365, 256, 256)","(0.5000022, 0.9765625, 0.9765625)"
013,FLAIR_02.nii,"(365, 256, 256)","(0.5000022, 0.9765625, 0.9765625)"
013,FLAIR_01.nii,"(365, 256, 256)","(0.5000022, 0.9765625, 0.9765625)"
015,lesion.nii,"(365, 256, 256)","(0.49999735, 0.9765625, 0.9765625)"
015,FLAIR_02.nii,"(365, 256, 256)","(0.49999735, 0.9765625, 0.9765625)"
015,FLAIR_01.nii,"(365, 256, 256)","(0.49999735, 0.9765625, 0.9765625)"
016,lesion.nii,"(365, 256, 256)","(0.49999842, 0.9765625, 0.9765625)"
016,FLAIR_02.nii,"(365, 256, 256)","(0.49999842, 0.9765625, 0.9765625)"
016,FLAIR_01.nii,"(365, 256, 256)","(0.49999842, 0.9765625, 0.9765625)"
018,lesion.nii,"(320, 240, 240)","(0.5599989, 1.0416666, 1.0416666)"
018,FLAIR_02.nii,"(320, 240, 240)","(0.5599989, 1.0416666, 1.0416666)"
018,FLAIR_01.nii,"(320, 240, 240)","(0.5599989, 1.0416666, 1.0416666)"
019,lesion.nii,"(320, 512, 512)","(0.5, 0.48828125, 0.48828125)"
019,FLAIR_02.nii,"(320, 512, 512)","(0.5, 0.48828125, 0.48828125)"
019,FLAIR_01.nii,"(320, 512, 512)","(0.5, 0.48828125, 0.48828125)"
020,lesion.nii,"(277, 384, 384)","(0.6500013, 0.5989583, 0.5989583)"
020,FLAIR_02.nii,"(277, 384, 384)","(0.6500013, 0.5989583, 0.5989583)"
020,FLAIR_01.nii,"(277, 384, 384)","(0.6500013, 0.5989583, 0.5989583)"
021,lesion.nii,"(365, 256, 256)","(0.5000011, 0.9765625, 0.9765625)"
021,FLAIR_01.nii,"(365, 256, 256)","(0.5000011, 0.9765625, 0.9765625)"
024,lesion.nii,"(365, 256, 256)","(0.4999963, 0.9765625, 0.9765625)"
024,FLAIR_02.nii,"(365, 256, 256)","(0.4999963, 0.9765625, 0.9765625)"
024,FLAIR_01.nii,"(365, 256, 256)","(0.4999963, 0.9765625, 0.9765625)"
026,lesion.nii,"(144, 192, 192)","(1.25, 1.25, 1.25)"
026,FLAIR_02.nii,"(144, 192, 192)","(1.25, 1.25, 1.25)"
026,FLAIR_01.nii,"(144, 192, 192)","(1.25, 1.25, 1.25)"
027,lesion.nii,"(365, 256, 256)","(0.500003, 0.9765625, 0.9765625)"
027,FLAIR_02.nii,"(365, 256, 256)","(0.500003, 0.9765625, 0.9765625)"
027,FLAIR_01.nii,"(365, 256, 256)","(0.500003, 0.9765625, 0.9765625)"
029,lesion.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
029,FLAIR_02.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
029,FLAIR_01.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
030,lesion.nii,"(256, 448, 512)","(0.62, 0.546875, 0.546875)"
030,FLAIR_02.nii,"(256, 448, 512)","(0.62, 0.546875, 0.546875)"
030,FLAIR_01.nii,"(256, 448, 512)","(0.62, 0.546875, 0.546875)"
032,lesion.nii,"(365, 256, 256)","(0.49999744, 0.9765625, 0.9765625)"
032,FLAIR_02.nii,"(365, 256, 256)","(0.49999744, 0.9765625, 0.9765625)"
032,FLAIR_01.nii,"(365, 256, 256)","(0.49999744, 0.9765625, 0.9765625)"
035,lesion.nii,"(280, 512, 512)","(0.64999896, 0.48828125, 0.48828125)"
035,FLAIR_02.nii,"(280, 512, 512)","(0.64999896, 0.48828125, 0.48828125)"
035,FLAIR_01.nii,"(280, 512, 512)","(0.64999896, 0.48828125, 0.48828125)"
037,lesion.nii,"(365, 256, 256)","(0.5000016, 0.9765625, 0.9765625)"
037,FLAIR_02.nii,"(365, 256, 256)","(0.5000016, 0.9765625, 0.9765625)"
037,FLAIR_01.nii,"(365, 256, 256)","(0.5000016, 0.9765625, 0.9765625)"
039,lesion.nii,"(320, 240, 240)","(0.5599989, 1.0416666, 1.0416666)"
039,FLAIR_02.nii,"(320, 240, 240)","(0.5599989, 1.0416666, 1.0416666)"
039,FLAIR_01.nii,"(320, 240, 240)","(0.5599989, 1.0416666, 1.0416666)"
043,lesion.nii,"(365, 256, 256)","(0.50000066, 0.9765625, 0.9765625)"
043,FLAIR_02.nii,"(365, 256, 256)","(0.50000066, 0.9765625, 0.9765625)"
043,FLAIR_01.nii,"(365, 256, 256)","(0.50000066, 0.9765625, 0.9765625)"
047,lesion.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
047,FLAIR_02.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
047,FLAIR_01.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
048,lesion.nii,"(365, 256, 256)","(0.49999982, 0.9765625, 0.9765625)"
048,FLAIR_02.nii,"(365, 256, 256)","(0.49999982, 0.9765625, 0.9765625)"
048,FLAIR_01.nii,"(365, 256, 256)","(0.49999982, 0.9765625, 0.9765625)"
049,lesion.nii,"(261, 352, 352)","(0.69999945, 0.71165043, 0.71165043)"
049,FLAIR_02.nii,"(261, 352, 352)","(0.69999945, 0.71165043, 0.71165043)"
049,FLAIR_01.nii,"(261, 352, 352)","(0.69999945, 0.71165043, 0.71165043)"
051,lesion.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
051,FLAIR_02.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
051,FLAIR_01.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
052,lesion.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
052,FLAIR_02.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
052,FLAIR_01.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
057,lesion.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
057,FLAIR_02.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
057,FLAIR_01.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
061,lesion.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
061,FLAIR_02.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
061,FLAIR_01.nii,"(365, 256, 256)","(0.5, 0.9765625, 0.9765625)"
068,lesion.nii,"(128, 448, 512)","(1.25, 0.5175781, 0.5175781)"
068,FLAIR_02.nii,"(128, 448, 512)","(1.25, 0.5175781, 0.5175781)"
068,FLAIR_01.nii,"(128, 448, 512)","(1.25, 0.5175781, 0.5175781)"
069,lesion.nii,"(277, 384, 384)","(0.6500015, 0.5989583, 0.5989583)"
069,FLAIR_02.nii,"(277, 384, 384)","(0.6500015, 0.5989583, 0.5989583)"
069,FLAIR_01.nii,"(277, 384, 384)","(0.6500015, 0.5989583, 0.5989583)"
070,lesion.nii,"(284, 512, 512)","(0.64000034, 0.48828125, 0.48828125)"
070,FLAIR_02.nii,"(284, 512, 512)","(0.64000034, 0.48828125, 0.48828125)"
070,FLAIR_01.nii,"(284, 512, 512)","(0.64000034, 0.48828125, 0.48828125)"
074,lesion.nii,"(365, 256, 256)","(0.49999782, 0.9765625, 0.9765625)"
074,FLAIR_02.nii,"(365, 256, 256)","(0.49999782, 0.9765625, 0.9765625)"
074,FLAIR_01.nii,"(365, 256, 256)","(0.49999782, 0.9765625, 0.9765625)"
077,lesion.nii,"(365, 256, 256)","(0.4999978, 0.9765625, 0.9765625)"
077,FLAIR_02.nii,"(365, 256, 256)","(0.4999978, 0.9765625, 0.9765625)"
077,FLAIR_01.nii,"(365, 256, 256)","(0.4999978, 0.9765625, 0.9765625)"
083,lesion.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
083,FLAIR_02.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
083,FLAIR_01.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
084,lesion.nii,"(274, 512, 512)","(0.6399964, 0.48828125, 0.48828125)"
084,FLAIR_02.nii,"(274, 512, 512)","(0.6399964, 0.48828125, 0.48828125)"
084,FLAIR_01.nii,"(274, 512, 512)","(0.6399964, 0.48828125, 0.48828125)"
088,lesion.nii,"(128, 448, 512)","(1.25, 0.5175781, 0.5175781)"
088,FLAIR_02.nii,"(128, 448, 512)","(1.25, 0.5175781, 0.5175781)"
088,FLAIR_01.nii,"(128, 448, 512)","(1.25, 0.5175781, 0.5175781)"
089,lesion.nii,"(277, 384, 384)","(0.64999896, 0.5989583, 0.5989583)"
089,FLAIR_02.nii,"(277, 384, 384)","(0.64999896, 0.5989583, 0.5989583)"
089,FLAIR_01.nii,"(277, 384, 384)","(0.64999896, 0.5989583, 0.5989583)"
090,lesion.nii,"(180, 256, 256)","(0.9999983, 0.9765625, 0.9765625)"
090,FLAIR_02.nii,"(180, 256, 256)","(0.9999983, 0.9765625, 0.9765625)"
090,FLAIR_01.nii,"(180, 256, 256)","(0.9999983, 0.9765625, 0.9765625)"
091,lesion.nii,"(144, 224, 256)","(1.0, 0.9765625, 0.9765625)"
091,FLAIR_02.nii,"(144, 224, 256)","(1.0, 0.9765625, 0.9765625)"
091,FLAIR_01.nii,"(144, 224, 256)","(1.0, 0.9765625, 0.9765625)"
094,lesion.nii,"(413, 400, 400)","(0.45000398, 0.625, 0.625)"
094,FLAIR_02.nii,"(413, 400, 400)","(0.45000398, 0.625, 0.625)"
094,FLAIR_01.nii,"(413, 400, 400)","(0.45000398, 0.625, 0.625)"
095,lesion.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
095,FLAIR_02.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
095,FLAIR_01.nii,"(176, 512, 512)","(1.0, 0.48828125, 0.48828125)"
096,lesion.nii,"(176, 256, 256)","(1.0, 1.0, 1.0)"
096,FLAIR_02.nii,"(176, 256, 256)","(1.0, 1.0, 1.0)"
096,FLAIR_01.nii,"(176, 256, 256)","(1.0, 1.0, 1.0)"
099,lesion.nii,"(365, 256, 256)","(0.5000032, 0.9765625, 0.9765625)"
099,FLAIR_02.nii,"(365, 256, 256)","(0.5000032, 0.9765625, 0.9765625)"
099,FLAIR_01.nii,"(365, 256, 256)","(0.5000032, 0.9765625, 0.9765625)"
100,lesion.nii,"(365, 256, 256)","(0.50000054, 0.9765625, 0.9765625)"
100,FLAIR_02.nii,"(365, 256, 256)","(0.50000054, 0.9765625, 0.9765625)"
100,FLAIR_01.nii,"(365, 256, 256)","(0.50000054, 0.9765625, 0.9765625)"
